latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
8.4673,81.08805,337.73,0.54,0.42,2026-09-01,750,N,VIIRS,n,2.0NRT,298.79,7.07,D
8.46778,80.40383,341.57,0.4,0.44,2026-09-01,750,N,VIIRS,n,2.0NRT,301.31,2.9,D
8.47152,80.72465,336.85,0.57,0.43,2026-09-01,750,N,VIIRS,n,2.0NRT,303.91,11.25,D
8.4955,80.82083,335.09,0.56,0.43,2026-09-01,750,N,VIIRS,n,2.0NRT,301.08,16.97,D
8.49863,80.81506,333.72,0.56,0.43,2026-09-01,750,N,VIIRS,n,2.0NRT,302.59,16.97,D
8.49946,80.82017,339.21,0.56,0.43,2026-09-01,750,N,VIIRS,n,2.0NRT,303.5,16.97,D
8.51547,80.31347,343.83,0.4,0.44,2026-09-01,750,N,VIIRS,n,2.0NRT,295.89,5.43,D
8.51704,80.59698,352.54,0.39,0.44,2026-09-01,750,N,VIIRS,n,2.0NRT,301.92,6.85,D
8.51814,80.67673,338.07,0.57,0.43,2026-09-01,750,N,VIIRS,n,2.0NRT,301.34,8.72,D
8.51878,80.7773,342.57,0.57,0.43,2026-09-01,750,N,VIIRS,n,2.0NRT,303.99,4.06,D
8.51968,80.43941,331.47,0.4,0.44,2026-09-01,750,N,VIIRS,l,2.0NRT,302.34,2.88,D
8.52105,80.59629,352.43,0.39,0.44,2026-09-01,750,N,VIIRS,n,2.0NRT,300.61,6.85,D
8.52566,80.47535,347.97,0.39,0.44,2026-09-01,750,N,VIIRS,n,2.0NRT,298.71,3.79,D
8.52771,80.89381,335.66,0.56,0.43,2026-09-01,750,N,VIIRS,n,2.0NRT,299.91,6.84,D
8.54025,80.51318,345.63,0.39,0.44,2026-09-01,750,N,VIIRS,n,2.0NRT,303.93,9.03,D
8.54781,80.68247,340.66,0.57,0.43,2026-09-01,750,N,VIIRS,n,2.0NRT,302.43,8.51,D
8.56386,80.50555,335.67,0.39,0.44,2026-09-01,750,N,VIIRS,n,2.0NRT,301.18,3.19,D
8.56749,80.72697,337.61,0.57,0.43,2026-09-01,750,N,VIIRS,n,2.0NRT,299.82,6.93,D
8.56789,80.50488,340.09,0.39,0.44,2026-09-01,750,N,VIIRS,n,2.0NRT,299.06,2.13,D
