event_id,brightness,frp,confidence,day_night,distance_to_industrial,distance_to_refinery,distance_to_powerplant,distance_to_mine,distance_to_gas_facility,distance_to_road,near_industrial_facility,near_refinery,near_powerplant,near_mine,near_gas_facility,forest_pct,cropland_pct,grassland_pct,builtup_pct,water_pct,detections_7d,detections_30d,detections_90d,mean_frp_30d,max_frp_30d,mean_brightness_30d,days_active_30d,persistence_score,frp_deviation,frp_ratio,brightness_deviation,brightness_ratio,osm_query_status,data_quality_flags,candidate_label,verified_label,verification_status
FIRMS_1716087654,355.18,5.89,,day,,,,,,0.9896,0.0,,,0.0,0.0,10.66,13.46,75.89,0.0,0.0,0,0,0,,,,0,0.0,,,,,industrial:not_found; refinery:query_failed; powerplant:query_failed; mine:not_found; gas_facility:not_found; road:ok,osm_partial_failure,,,data_invalid
FIRMS_D0BBFAFAAC,331.46,1.86,,day,4.9257,,,,,0.0529,1.0,0.0,0.0,,0.0,18.14,77.03,3.37,0.8,0.66,0,0,0,,,,0,0.0,,,,,industrial:ok; refinery:not_found; powerplant:not_found; mine:query_failed; gas_facility:not_found; road:ok,osm_partial_failure,3.0,,uncertain
FIRMS_B899CA06A2,331.63,3.58,,day,1.9518,,,,,,1.0,0.0,,,0.0,48.99,30.06,19.36,1.45,0.03,0,0,0,,,,0,0.0,,,,,industrial:ok; refinery:not_found; powerplant:query_failed; mine:query_failed; gas_facility:not_found; road:query_failed,osm_partial_failure,3.0,,uncertain
FIRMS_1282C4A595,341.02,4.53,,day,,,,,,0.3588,0.0,,0.0,0.0,0.0,40.88,36.3,18.99,3.56,0.28,0,0,0,,,,0,0.0,,,,,industrial:not_found; refinery:query_failed; powerplant:not_found; mine:not_found; gas_facility:not_found; road:ok,osm_partial_failure,,,data_invalid
FIRMS_A976EEC0EB,342.44,2.38,,day,,,,,,,0.0,0.0,0.0,0.0,0.0,41.78,36.04,18.22,3.7,0.28,0,0,0,,,,0,0.0,,,,,industrial:not_found; refinery:not_found; powerplant:not_found; mine:not_found; gas_facility:not_found; road:query_failed,osm_partial_failure,,,data_invalid
FIRMS_85B8BA683E,332.63,8.28,,day,,,,,,0.2041,,0.0,0.0,0.0,0.0,3.28,41.13,41.71,12.46,0.92,0,0,0,,,,0,0.0,,,,,industrial:query_failed; refinery:not_found; powerplant:not_found; mine:not_found; gas_facility:not_found; road:ok,osm_partial_failure,,,data_invalid
FIRMS_1A86218A9C,332.27,2.06,,day,,,,2.7531,,0.1663,0.0,,0.0,1.0,0.0,25.77,49.9,19.7,4.59,0.01,0,0,0,,,,0,0.0,,,,,industrial:not_found; refinery:query_failed; powerplant:not_found; mine:ok; gas_facility:not_found; road:ok,osm_partial_failure,,,data_invalid
FIRMS_3E8F249ECE,343.27,6.59,,day,,,,,,,,,0.0,0.0,0.0,16.37,34.31,29.77,1.86,16.96,0,0,0,,,,0,0.0,,,,,industrial:query_failed; refinery:query_failed; powerplant:not_found; mine:not_found; gas_facility:not_found; road:query_failed,osm_partial_failure,,,data_invalid
FIRMS_377D28A338,334.7,5.87,,day,3.2021,,4.0472,,,,1.0,,1.0,,0.0,19.38,51.34,26.47,2.36,0.2,0,0,0,,,,0,0.0,,,,,industrial:ok; refinery:query_failed; powerplant:ok; mine:query_failed; gas_facility:not_found; road:query_failed,osm_partial_failure,3.0,,uncertain
FIRMS_7E78CD46CF,337.49,2.19,,day,,,,,,,,0.0,,0.0,0.0,24.02,56.58,13.21,1.62,0.0,0,0,0,,,,0,0.0,,,,,industrial:query_failed; refinery:not_found; powerplant:query_failed; mine:not_found; gas_facility:not_found; road:query_failed,osm_partial_failure,,,data_invalid
